时间	SysStep	SysStep名	故障	急停	模式	冷媒类型	1#压机1	1#压机2	1#翅片1	1#翅片2	1#排气1	1#排气2	1#吸气1	1#吸气2	1#过热度1	1#过热度2	1#外EEV步1	1#外EEV步2	1#外EEV目1	1#外EEV目2	1#高压1	1#低压1	1#高压2	1#低压2	1#蒸发1	1#蒸发2	2#压机1	2#压机2	2#翅片1	2#翅片2	2#排气1	2#排气2	2#吸气1	2#吸气2	2#过热度1	2#过热度2	2#外EEV步1	2#外EEV步2	2#外EEV目1	2#外EEV目2	2#高压1	2#低压1	2#高压2	2#低压2	2#蒸发1	2#蒸发2	1#E(K)1	1#步数1	1#E(K)2	1#步数2	2#E(K)1	2#步数1	2#E(K)2	2#步数2	脉冲总数	开度上限	扫描周期	Y设定	YD	KP	TI	TD	限步	化霜开度	起始开度	目标台数	命令A1	命令A2	调度号	内目标1	内目标2	内目标3	内目标4	内目标5	内目标6	内目标7	内目标8	内当前1	内当前2	内当前3	内当前4	内当前5	内当前6	内当前7	内当前8	ON1	ON2	ON3	ON4	ON5	ON6	ON7	ON8
15:35:20	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	706	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	1	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:35:22	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	706	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	1	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:35:24	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	706	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	1	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:35:26	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	706	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	1	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:35:28	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1121	721	1124	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	1	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:35:30	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1121	721	1124	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	1	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:35:32	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1121	721	1124	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	1	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:35:34	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1121	721	1124	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	1	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:35:37	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1121	721	1124	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	1	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:35:39	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	703	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	1	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:35:41	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	703	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	1	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:35:43	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	703	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	1	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:35:45	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	703	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	1	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:35:47	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	703	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	1	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:35:49	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	703	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:35:51	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	703	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:35:53	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	703	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:35:55	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	703	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:35:57	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	703	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:35:59	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	703	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:01	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	703	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:03	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	703	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:05	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	703	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:07	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	703	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:09	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	703	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:11	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	703	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:13	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	703	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:15	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	703	1113	709	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:17	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	703	1113	709	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:19	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	703	1113	709	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:21	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	703	1113	709	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:23	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	703	1113	709	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:25	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	703	1113	709	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:27	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	725	1123	721	1122	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:29	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	725	1123	721	1122	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:31	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	725	1123	721	1122	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:33	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	725	1123	721	1122	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:35	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	725	1123	721	1122	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:37	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1122	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:39	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1122	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:41	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1122	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:43	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1122	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:45	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1122	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:47	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1122	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:49	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1124	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	706	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:51	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1124	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	706	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:53	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1124	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	706	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:55	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1124	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	706	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:57	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1124	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	706	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:36:59	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1124	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	706	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:37:01	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:37:03	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:37:05	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:37:07	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:37:09	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:37:11	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1122	141	141	0	0	92	96	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:37:13	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1124	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	706	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:37:15	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1124	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	706	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:37:17	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1124	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	706	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:37:19	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1124	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	706	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:37:21	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1124	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	706	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:37:23	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	718	1123	721	1124	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	706	1115	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:37:25	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:37:27	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15:37:29	2	运行	0	0	制冷	R410A	0	0	107	128	296	415	114	114	-27	-27	0	0	0	0	721	1123	721	1122	141	141	0	0	92	97	228	281	124	122	-14	-16	0	0	0	0	706	1113	706	1114	138	138	0	0	0	0	0	0	0	0	500	500	5	50	20	5	100	0	20	350	200	2	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
